City,Exp Type,Amount
"Musabani, India",Entertainment,408866
"Pakaur, India",Fuel,408787
"Kharagpur, India",Entertainment,408774
"Morshi, India",Bills,408632
"Siliguri, India",Bills,408401
"Nepanagar, India",Entertainment,408342
"Supaul, India",Bills,408173
"Shrirampur, India",Food,408092
"Kannur, India",Bills,407963
"Ichalkaranji, India",Fuel,407554
"Perambalur, India",Entertainment,407065
"Nehtaur, India",Entertainment,407024
"Paschim Punropara, India",Entertainment,406740
"Rawatbhata, India",Grocery,406487
"Viramgam, India",Fuel,406453
"Ramdurg, India",Entertainment,406393
"Noorpur, India",Grocery,406326
"Palasa Kasibugga, India",Food,406271
"Sholingur, India",Entertainment,406040
"Nawanshahr, India",Food,405734
"Firozpur Cantt., India",Food,405720
"Amroha, India",Fuel,405438
"Jhansi, India",Entertainment,405118
"Ozar, India",Bills,404855
"Nautanwa, India",Fuel,404777
"Raurkela, India",Food,404769
"Barnala, India",Entertainment,404734
"Sircilla, India",Grocery,404292
"Shegaon, India",Bills,404193
"Perambalur, India",Fuel,404041
"Kolar, India",Grocery,404026
"Bharuch, India",Entertainment,403608
"Pithampur, India",Food,403496
"Tuljapur, India",Bills,402650
"Nandyal, India",Bills,402180
"Shahdol, India",Food,401790
"Charkhi Dadri, India",Fuel,401645
"Udupi, India",Fuel,401440
"Dalli-Rajhara, India",Entertainment,401235
"Imphal, India",Bills,401188
"Visakhapatnam, India",Grocery,401102
"Nidadavole, India",Fuel,400692
"Sumerpur, India",Bills,400548
"North Lakhimpur, India",Food,399408
"Loni, India",Entertainment,398509
"Vaijapur, India",Grocery,398474
"Narasaraopet, India",Bills,398271
"Mandi, India",Food,397994
"Jalandhar Cantt., India",Fuel,397584
"Pandharpur, India",Bills,396812
"Lahar, India",Bills,396746
"Talikota, India",Food,396343
"Sopore, India",Bills,395610
"Varkala, India",Bills,395564
"Pandharpur, India",Grocery,395169
"Hindupur, India",Entertainment,394371
"Nidadavole, India",Grocery,394358
"Rewa, India",Entertainment,394248
"Yellandu, India",Bills,394098
"Kendrapara, India",Fuel,393640
"Mohali, India",Food,392999
"Thrissur, India",Grocery,392567
"Lakhimpur, India",Food,392168
"Malegaon, India",Food,391959
"Satana, India",Food,391528
"Tiruchendur, India",Grocery,391456
"Palacole, India",Bills,390729
"Palladam, India",Entertainment,390583
"Raayachuru, India",Entertainment,390555
"Rampur, India",Entertainment,390454
"Sikandra Rao, India",Fuel,390349
"Sugauli, India",Grocery,390110
"Tumkur, India",Fuel,390087
"Tohana, India",Fuel,389975
"Vijayapura, India",Entertainment,389904
"Nagaur, India",Grocery,389902
"Tumsar, India",Bills,389760
"Nabadwip, India",Fuel,389466
"Koratla, India",Entertainment,389344
"Lanka, India",Grocery,389306
"Tenali, India",Fuel,389147
"Rasipuram, India",Food,388591
"Jodhpur, India",Food,388070
"Mahemdabad, India",Fuel,387992
"Ongole, India",Fuel,387813
"Pithapuram, India",Food,387680
"Malegaon, India",Fuel,386965
"Washim, India",Fuel,386726
"Sillod, India",Entertainment,386672
"Shenkottai, India",Entertainment,385957
"Mankachar, India",Bills,385858
"Aurangabad, India",Bills,385585
"Palghar, India",Food,385291
"Kharar, India",Grocery,385176
"Rajahmundry, India",Entertainment,385092
"Nasirabad, India",Entertainment,384921
"Nilanga, India",Grocery,384297
"Sarangpur, India",Food,384014
"Umaria, India",Entertainment,383976
"Kunnamkulam, India",Fuel,383933
"Mhow Cantonment, India",Bills,383898
"Terdal, India",Grocery,383279
"Vrindavan, India",Bills,382909
"Bhopal, India",Food,382458
